date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:24:17	111/111	---MCZ	200	added ('OK')	text/plain	date:Thu,%2017%20Nov%202022%2007:54:17%20GMT	https://wpocean.com/robots.txt		(from )
13:24:17	91183/91183	---MCZ	200	added ('OK')	text/html	date:Thu,%2017%20Nov%202022%2007:54:17%20GMT	https://wpocean.com/wp/lovelove/wedding-home/	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wedding-home/index.html	(from )
13:24:18	94889/94889	---MCZ	200	added ('OK')	text/css	etag:W/%226374b5e8-172a9%22	https://wpocean.com/wp/lovelove/wp-includes/css/dist/block-library/style.min.css?ver=6.1.1	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-includes/css/dist/block-library/style.min6a4d.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
13:24:18	10435/10435	---MCZ	200	added ('OK')	text/css	etag:W/%226374b600-28c3%22	https://wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style.css?ver=8.7.5	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-vendors-style8caf.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
13:24:18	235926/235926	---MCZ	200	added ('OK')	text/css	etag:W/%226374b600-39996%22	https://wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style.css?ver=8.7.5	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/packages/woocommerce-blocks/build/wc-blocks-style8caf.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
13:24:19	217/217	---MCZ	200	added ('OK')	text/css	etag:W/%226364bc88-d9%22	https://wpocean.com/wp/lovelove/wp-includes/css/classic-themes.min.css?ver=1	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-includes/css/classic-themes.min68b3.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
13:24:19	2731/2731	---MCZ	200	added ('OK')	text/css	etag:W/%22634ff0cb-aab%22	https://wpocean.com/wp/lovelove/wp-content/plugins/contact-form-7/includes/css/styles.css?ver=5.6.4	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-content/plugins/contact-form-7/includes/css/styles77e1.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
13:24:19	1127/1127	---MCZ	200	added ('OK')	text/css	etag:W/%226346baf9-467%22	https://wpocean.com/wp/lovelove/wp-content/plugins/lovelove-core/elementor/assets/css/lovelove-elementor.css?ver=1.0.0	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-content/plugins/lovelove-core/elementor/assets/css/lovelove-elementor8a54.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
13:24:19	17809/17809	---MCZ	200	added ('OK')	text/css	etag:W/%226374b5ff-4591%22	https://wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/assets/css/woocommerce-layout.css?ver=7.1.0	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/assets/css/woocommerce-layout9d27.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
13:24:20	7043/7043	---MCZ	200	added ('OK')	text/css	etag:W/%226374b5ff-1b83%22	https://wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen.css?ver=7.1.0	C:/My%20Web%20Sites/Wedding/wpocean.com/wp/lovelove/wp-content/plugins/woocommerce/assets/css/woocommerce-smallscreen9d27.css	(from https://wpocean.com/wp/lovelove/wedding-home/)
